"Educacion","Experiencia","Permanencia","Genero","EstadoCivil","Salario"
"11","2","0","1","0","3.1"
"12","22","2","1","1","3.24"
"11","2","0","0","0","3"
"8","44","28","0","1","6"
"12","7","2","0","1","5.3"
"16","9","8","0","1","8.75"
"18","15","7","0","0","11.25"
"12","5","3","1","0","5"
"12","26","4","1","0","3.6"
"17","22","21","0","1","18.18"
"16","8","2","1","0","6.25"
"13","3","0","1","0","8.13"
"12","15","0","0","1","8.77"
"12","18","3","0","0","5.5"
"12","31","15","0","1","22.2"
"16","14","0","0","1","17.33"
"12","10","0","1","1","7.5"
"13","16","10","1","0","10.63"
"12","13","0","1","1","3.6"
"12","36","6","1","1","4.5"
"12","11","4","1","0","6.88"
"12","29","13","0","1","8.48"
"16","9","9","1","0","6.33"
"12","3","1","1","0","0.53"
"11","37","8","1","0","6"
"16","3","3","0","1","9.56"
"16","11","10","0","1","7.78"
"16","31","0","0","1","12.5"
"15","30","0","0","1","12.5"
"8","9","1","1","1","3.25"
"14","23","5","0","1","13"
"14","2","5","1","0","4.5"
"13","16","16","1","0","9.68"
"12","7","3","1","0","5"
"12","3","0","1","0","4.68"
"16","22","4","1","1","4.27"
"12","15","6","1","1","6.15"
"4","39","15","0","1","3.51"
"14","3","3","1","1","1000"
"12","11","0","1","0","6.25"
"12","3","0","1","1","7.81"
"12","20","5","1","1","10"
"14","16","0","1","1","4.5"
"11","45","12","1","1","4"
"13","11","4","1","0","6.38"
"15","20","13","0","1","13.7"
"10","1","0","0","0","1.67"
"12","36","2","1","1","2.93"
"14","9","2","0","0","3.65"
"12","15","1","1","1","2.9"
"12","18","0","1","0","1.63"
"16","3","2","1","0","8.6"
"12","15","5","0","1","5"
"12","7","7","0","1","6"
"12","2","0","0","0","2.5"
"15","3","0","0","0","3.25"
"16","1","1","1","0","3.4"
"8","13","0","0","0","10"
"18","8","8","1","0","21.63"
"16","7","0","0","0","4.38"
"13","40","20","1","0","11.71"
"14","42","5","0","0","12.39"
"10","36","8","0","0","6.25"
"10","13","0","1","0","3.71"
"14","9","3","0","0","7.78"
"14","26","23","0","1","19.98"
"16","7","4","1","1","6.25"
"12","25","3","0","1","10"
"16","10","5","0","1","5.71"
"12","3","2","1","0","2"
"16","3","0","1","0","5.71"
"17","17","2","0","1","13.08"
"12","17","8","0","1","4.91"
"12","20","34","1","1","2.91"
"12","7","0","1","1","3.75"
"13","24","19","0","1","11.9"
"12","28","0","1","1","4"
"12","2","1","1","0","3.1"
"12","19","13","0","1","8.45"
"18","13","0","0","1","7.14"
"9","22","5","0","1","4.5"
"16","3","1","0","0","4.65"
"10","4","0","1","0","2.9"
"12","7","5","0","0","6.67"
"12","6","2","1","0","3.5"
"12","13","3","1","1","3.26"
"12","14","0","1","1","3.25"
"12","14","4","1","0","8"
"8","40","24","0","1","9.85"
"12","11","7","0","1","7.5"
"12","14","6","0","1","5.91"
"14","40","39","0","1","11.76"
"12","1","0","1","0","3"
"12","2","0","1","0","4.81"
"12","4","1","1","0","6.5"
"9","19","1","1","1","4"
"13","1","0","0","0","3.5"
"12","34","22","0","1","13.16"
"14","5","2","0","1","4.25"
"12","3","0","0","0","3.5"
"15","6","6","1","0","5.13"
"12","14","0","1","1","3.75"
"12","35","12","1","1","4.5"
"12","8","4","1","0","7.63"
"14","7","7","0","1","15"
"15","11","3","1","1","6.85"
"12","14","11","0","1","13.33"
"12","35","10","0","0","6.67"
"12","46","0","1","0","2.53"
"17","7","0","0","1","9.8"
"11","45","12","0","1","3.37"
"18","29","25","0","1","24.98"
"12","6","3","0","1","5.4"
"14","15","0","0","1","6.11"
"14","33","16","1","1","4.2"
"10","15","0","0","0","3.75"
"14","5","0","1","1","3.5"
"12","7","2","0","0","3.64"
"15","6","1","0","1","3.8"
"8","33","12","1","1","3"
"16","2","1","1","1","5"
"14","4","0","1","1","4.63"
"15","1","0","0","0","3"
